Mods count: 129
 
                                     jar name                                       |    notes     |           mod id           |            mod name            |         mod version          |                                                                                                                                       mixin configs                                                                                                                                        |              modrinth hash               | curseforge hash
[精致存储] refinedstorage-1.12.4.jar                                                    |              | refinedstorage             | Refined Storage                | 1.12.4                       |                                                                                                                                                                                                                                                                                            | ff9e83c81344d0bfe9e0bb53c6df00c7e0a39cf5 | 2357723047     
[舒适用品] comforts-forge-6.4.0+1.20.1.jar                                              |              | comforts                   | Comforts                       | 6.4.0+1.20.1                 | comforts.mixins.json                                                                                                                                                                                                                                                                       | e7b9fe89566bb1ee013e33745f22f309f679536e | 940613798      
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                            |              | spectrelib                 | SpectreLib                     | 0.13.15+1.20.1               |                                                                                                                                                                                                                                                                                            |                                          |                
[车万女仆] touhoulittlemaid-1.5.3-forge+mc1.20.1.jar                                    |              | touhou_little_maid         | Touhou Little Maid             | 1.5.3-forge+mc1.20.1         | touhou_little_maid.mixins.json                                                                                                                                                                                                                                                             | 9097a2a57e7ed639bca072dd62e4a9257e86db89 | 1451520691     
[车万女仆附属：爱恋] touhou-maid-affection-1.7.2.2.jar                                       |              | touhou_maid_affection      | Touhou Maid: Affection         | 1.7.2.2                      | touhou_maid_affection.mixins.json                                                                                                                                                                                                                                                          | b1f58bff49784beab0ea4c3b825ed105ae5ba194 | 2154299185     
[输入法冲突修复] IMBlocker-5.5.4-forge+1.17-1.20.4.jar                                     |              | imblocker                  | IMBlocker                      | 5.5.4                        | imblocker-forge.mixins.json, imblocker-forge.mixins.refmap.json                                                                                                                                                                                                                            | de1706f3a1e5adf9476457f40bb1901c5cb41879 | 2839430482     
[钠／Embeddium：动态光源] sodiumdynamiclights-forge-1.0.10-1.20.1.jar                      |              | sodiumdynamiclights        | Sodium Dynamic Lights          | 1.0.9                        | mixins.sodiumdynamiclights.json                                                                                                                                                                                                                                                            | d27524e85bed0f0af83c03be46f9ca3eb02a1be9 | 4061843185     
    /META-INF/jars/fabric-api-base-0.4.31+ef105b4977.jar                            |              | fabric_api_base            | Fabric API Base                | 0.4.31+ef105b4977            | fabric-api-base.init.mixins.json                                                                                                                                                                                                                                                           |                                          |                
[铁氧体磁芯] ferritecore-6.0.1-forge.jar                                                 |              | ferritecore                | Ferrite Core                   | 6.0.1                        | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json | 417fb6ce8f52abf40bd9d0390371790f9576f8ba | 2683111440     
[附魔描述] EnchantmentDescriptions-Forge-1.20.1-17.1.21.jar                             |              | enchdesc                   | EnchantmentDescriptions        | 17.1.21                      |                                                                                                                                                                                                                                                                                            | 0328a8350cf0a6d1c44265367a077649088b354b | 3504336343     
AdvancedSkillsRe-forge-1.1.0-beta.1.jar                                             |              | advskills_re               | Advanced Skills: Remastered    | 1.1.0-beta.1                 | advskills_re.mixins.json, advskills_re_forge.mixins.json                                                                                                                                                                                                                                   | d07b3d68f4109646725beb74dd2f8e7b76944f24 | 1135047685     
    /META-INF/jars/exp4j-0.4.8.jar                                                  |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
